,videoId,title,description,views,likes,tag,url,duration,publishedAt,comments,combo,vectors,comment_ratio,engagement_ratio,final_rating,subject,channel_title,thumbnail
10,9oTV7fDEaCY,Trees In Data Structure | Introduction To Trees | Data Structures & Algorithms Tutorial |Simplilearn,java based mean developer caltech bootcamp mern data video coding trees topic,69216,1177,trees in data structure introduction to trees data structure tree tree terminology in data structure tree traversal in ds tree and its terminologies tree in ds types of tree in data structure binary tree and its types what is binary tree what is binary search tree non-linear hierarchical data structures data structure and algorithms data structures tutorial data structures & algorithms tutorial queue stack data structures simplilearn simplilearn,https://www.youtube.com/watch?v=9oTV7fDEaCY,855,2021-06-01 06:30:03,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]",trees search non-linear structures mean based types stack structure mern binary tree queue traversal data algorithms,[[0. 0. 0. ... 0. 0. 0.]],3.93,0.93,3.66,fds1,Simplilearn,https://i.ytimg.com/vi/9oTV7fDEaCY/maxresdefault.jpg
11,I_JuQ5ayPmc,"L-3.7: Introduction to Trees (Binary Tree, Almost Complete Binary Tree, Full BT, Complete BT, BST)",wise full database follow discrete system c 59 media new computing notes theory system computationartificial operating architecture tree5,981320,17171,binary tree binary tree traversal full binary tree strict binary tree complete binary tree Binary Tree data structure programming Breadth-first Search Tree Traversal what is binary tree in data structure binary tree and its properties tree in data structure what is binary search tree in data structure avl tree insertion and deletion what is tree in data structure dsa interview questions daa interview algorithm interview dsa interview,https://www.youtube.com/watch?v=I_JuQ5ayPmc,645,2020-08-22 07:51:39,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",search traversal trees properties algorithm computing insertion binary operating system architecture avl programming structure tree database data discrete c full theory,[[0. 0. 0. ... 0. 0. 0.]],2.22,0.95,2.29,dmgt5,Gate Smashers,https://i.ytimg.com/vi/I_JuQ5ayPmc/maxresdefault.jpg
12,oI0QhFzBSRo,Introduction to Trees,video along data terminologies trees see structure tree,427957,11638,,https://www.youtube.com/watch?v=oI0QhFzBSRo,1030,2020-12-04 15:09:57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",trees structure tree data,[[0. 0. 0. ... 0. 0. 0.]],0.99,1.48,1.6,ads5,CodeWithHarry,https://i.ytimg.com/vi/oI0QhFzBSRo/maxresdefault.jpg
13,1-l_UOFi1Xw,Introduction to Trees (Data Structures & Algorithms #9),tree intro data java download structure interesting code python sample problem,338671,7291,,https://www.youtube.com/watch?v=1-l_UOFi1Xw,630,2020-07-25 05:04:05,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",trees structures code python problem structure tree data algorithms,[[0. 0. 0. ... 0. 0. 0.]],3.03,1.17,3.07,ads5,CS Dojo,https://i.ytimg.com/vi/1-l_UOFi1Xw/maxresdefault.jpg
14,TwdjOQMTaQ4,Introduction to Graphs | Graph Data Structure,onwards data data graph study graph video structure structure,352930,9002,,https://www.youtube.com/watch?v=TwdjOQMTaQ4,1081,2021-10-18 11:35:31,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",graph structure graphs data,[[0. 0. 0. ... 0. 0. 0.]],2.27,1.39,2.57,ads3,CodeWithHarry,https://i.ytimg.com/vi/TwdjOQMTaQ4/maxresdefault.jpg
15,bvWVs0tJUOY,Graphs In Data Structures | Graph Representation In Data Structure | Data Structures | Simplilearn,beginners graduate full stack web stack developer caltech bootcamp mern post understand program coding helping,39972,642,graphs in data structures graph representation in data structure what is graph data structures graph graph representation adjacency matrices graph graph implementation in c tree and graph introduction to graphs graph terminology in data structure types of graphs in data structures weighted graph detect cycle in directed graph graphs arrays lists stacks queues trees linked lists leaf node root node data structures data structures simplilearn simplilearn,https://www.youtube.com/watch?v=bvWVs0tJUOY,1052,2021-06-09 06:30:04,"[0, 0, 1]",adjacency node trees web types cycle mern arrays graphs graph structures structure tree data linked c stacks full queues stack,[[0. 0. 0. ... 0. 0. 0.]],1.67,0.87,1.81,fds5,Simplilearn,https://i.ytimg.com/vi/bvWVs0tJUOY/maxresdefault.jpg
16,59fUtYYz7ZU,Graph Data Structure | Tutorial for Graphs in Data Structures,31 5 ----------------- join placement 02 0 alpha directed study us algorithm bridge cycle -----------------,800998,13595,C++ coding C++ full course C++ placement course how to code programming college placement course C++ language java java language java full course java placement java code java coding graph graph dsa dsa,https://www.youtube.com/watch?v=59fUtYYz7ZU,24240,2023-01-13 15:27:29,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",graph code structures alpha full algorithm c++ language cycle programming structure join data graphs,[[0. 0. 0. ... 0. 0. 0.]],2.98,0.92,2.9,pf,Apna College,https://i.ytimg.com/vi/59fUtYYz7ZU/maxresdefault.jpg
17,lg48ZZe7YUA,Graph in Data Structure | BFS & DFS Algorithms | Learn Coding,algorithms complete tutorials data beginners ....! structure notes :-,83219,1580,dsa data structure learn coding graph tree graph in data structure data structure graph data structure and algorithm c programming bfs algorithm dfs algorithm graph bfs algorithms graph dfs algorithms tree in data structure data structure tree graph in data structure in c types of graph what is graph in data structure? graph data structure and algorithm ds graph graph data Structure,https://www.youtube.com/watch?v=lg48ZZe7YUA,2009,2024-02-15 04:29:05,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",graph c algorithm types programming structure tree data algorithms,[[0. 0. 0. ... 0. 0. 0.]],1.47,1.03,1.73,ads3,Learn Coding,https://i.ytimg.com/vi/lg48ZZe7YUA/maxresdefault.jpg
18,N2P7w22tN9c,L-4.15: BFS & DFS | Breadth First Search | Depth First Search | Graph Traversing | DAA,wise database follow discrete system c media new computing notes theory system computationartificial operating architecture theory,1232023,25766,Bfs Dfs bfs vs dfs bfs traversal dfs traversal Bfs ppt dfs ppt algorithms breadth first search depth first search bfs dfs graph traversals dynamic programming abstract class sorting algorithms algorithm analysis Breadth First Search Depth First Search dfs algorithm cse c programming bfs and dfs data structures and algorithms Which is better BFS or DFS? What is BFS and DFS in tree? What is DFS in data structure?,https://www.youtube.com/watch?v=N2P7w22tN9c,676,2022-09-15 05:14:08,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",dynamic search traversal class abstract traversals algorithm computing algorithms operating system first sorting graph structures architecture programming database data discrete c theory analysis,[[0. 0. 0. ... 0. 0. 0.]],2.37,1.14,2.52,ads3,Gate Smashers,https://i.ytimg.com/vi/N2P7w22tN9c/maxresdefault.jpg
19,sgpDAiF-18o,Master MySQL in 2.5 Hours | 2024 | MySQL Tutorial for Beginners | Amit Thinks,5 mysql 100 learn examples hours amit,4533,136,MySQL Tutorial Learn MySQL MySQL Course MySQL MySQL Workbench MySQL Crash Course Install MySQL Learn SQL MySQL Server Learn mysql 8 MySQL Shell mysql tutorial learn mysql mysql tutorial for beginners mysql crash course mysql full course amit thinks mysql course mysql in one video learn mysql for beginners amit diwan sql for beginners sql basics for beginners sql full course sql tutorial for beginners 2024 amit thinks mysql learn sql,https://www.youtube.com/watch?v=sgpDAiF-18o,8598,2024-06-10 05:44:27,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",full sql 8 mysql shell master,[[0. 0. 0. ... 0. 0. 0.]],2.5,1.63,2.88,dbms3,Amit Thinks,https://i.ytimg.com/vi/sgpDAiF-18o/maxresdefault.jpg
20,hlGoQC332VM,SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,23 -- complete joins class 5000 life mysql13 03 duration general --------------------------------------------------- database using functions01 04 mentorship batch course batch queries46,7382605,125001,C++ C++ coding C++ full course C++ placement course how to code programming college placement course C++ language java java language java full course java placement java code java coding,https://www.youtube.com/watch?v=hlGoQC332VM,11774,2023-08-18 17:38:13,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",code full c++ sql language mysql programming database life class,[[0. 0. 0. ... 0. 0. 0.]],3.47,0.92,3.28,pf,Apna College,https://i.ytimg.com/vi/hlGoQC332VM/maxresdefault.jpg
21,7S_tz1z_5bA,SQL Tutorial for Beginners [Full Course],learn mysql sql scratch sql essentials covers working databases friendly tutorial,11801022,249921,mysql tutorial mysql learn mysql mysql course learn sql sql basics sql for beginners sql sql tutorial sql course sql crash course structured query language sql beginners mysql crash course mysql tutorial for beginners programming with mosh mosh hamedani web development databases code with mosh,https://www.youtube.com/watch?v=7S_tz1z_5bA,11419,2019-03-20 00:50:32,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]",databases query code web development structured sql language mysql programming,[[0. 0. 0. ... 0. 0. 0.]],3.02,1.15,3.04,pf,Programming with Mosh,https://i.ytimg.com/vi/7S_tz1z_5bA/maxresdefault.jpg
22,Cz3WcZLRaWc,MySQL - The Basics // Learn SQL in 23 Easy Steps,full tutorial beginners join mysql relational raw learn sql pillow recreating,846984,30735,webdev app development lesson tutorial sql database tutorial mysql sql beginners mysql tutorial mysql basics mysql history,https://www.youtube.com/watch?v=Cz3WcZLRaWc,1037,2021-04-16 15:41:25,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",full relational development sql mysql raw database join,[[0. 0. 0. ... 0. 0. 0.]],3.18,1.97,3.62,dbms3,Fireship,https://i.ytimg.com/vi/Cz3WcZLRaWc/maxresdefault.jpg
23,SycDH3NSJUU,MySQL Full Course 2023 | MySQL Tutorial For Beginners | SQL Full Course | SQL Training | Simplilearn,caltech analytics post data simplilearn coursetutorial kanpur discuss analyst certification program sql graduate advanced full analytics masters professional certificate starting,271163,4630,simplilearn mysql full course learn mysql learn mysql for beginners sql sql basics for beginners sql complete course sql complete tutorial sql full course sql full course for beginners sql interview questions and answers sql programming sql programming for beginners sql structured query language sql training sql tutorial sql tutorial advanced mysql tutorial for beginners what is sql what is sql database what is sql server simplilearn sql,https://www.youtube.com/watch?v=SycDH3NSJUU,35577,2023-03-01 06:30:06,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",analytics advanced query full structured sql language mysql programming masters database data,[[0. 0. 0. ... 0. 0. 0.]],3.75,0.93,3.51,pf,Simplilearn,https://i.ytimg.com/vi/SycDH3NSJUU/maxresdefault.jpg
24,zp6pBNbUB2U,4.1 Queue in Data Structure | Introduction to Queue | Data Structures Tutorials,queue data described structure type abstract lecture,870142,16310,data structures tutorials operating system what is queue queue in data structure in c how to implement queue using array introduction to queue in data structure ugc net computer science preparation strategy jenny's lectures jenny data structures jenny's lectures CS\IT NET&JRF GATE computer science c programming queue operations in data structure queue using linked list ds notes dsa tutorial data structures and algorithms stacks and queues in data structure,https://www.youtube.com/watch?v=zp6pBNbUB2U,1219,2019-09-13 05:52:45,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]",computer abstract array operations algorithms operating science system structures programming structure linked data c stacks list queues queue type,[[0. 0. 0. ... 0. 0. 0.]],3.11,1.02,3.04,fds5,Jenny's Lectures CS IT,https://i.ytimg.com/vi/zp6pBNbUB2U/maxresdefault.jpg
25,WUzNweEV8BQ,Queue in Data Structure | Learn Coding,algorithms complete tutorials data beginners ....! structure please subscribe,180602,3143,dsa queue dsa queue learn coding data structure data structures and algorithm queue in data structure queue in c programming queue program in c queue in c what is queue queue fifo operation queue data structure types of queue data structure and algorithms - queue queue data structure with examples creating a queue introduction to queue,https://www.youtube.com/watch?v=WUzNweEV8BQ,931,2023-10-26 04:47:41,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",fifo structures c algorithm types programming structure queue data algorithms,[[0. 0. 0. ... 0. 0. 0.]],2.32,0.95,2.37,fds5,Learn Coding,https://i.ytimg.com/vi/WUzNweEV8BQ/maxresdefault.jpg
26,YMzZTTO2MpE,Lec-46: Introduction to Queue Data structure with real life example | Data Structure #queue,new subscribe structure computer stores channel elements particular data order science collection,73235,1595,queue queue data structure queue in data structure queue example queue in real life front end rear end FIFO what is queue queue gate smashers gate smashers insertion in queue deletion from queue enqueue dequeue enqueue and dequeue in queue first in first out c data structure queue by Naina mam FIFO (First In First Out) programming,https://www.youtube.com/watch?v=YMzZTTO2MpE,545,2023-02-20 13:14:37,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",fifo c collection order programming computer structure insertion queue data life science first,[[0. 0. 0. ... 0. 0. 0.]],1.3,1.18,1.68,bdt1,Gate Smashers,https://i.ytimg.com/vi/YMzZTTO2MpE/maxresdefault.jpg
